model,match_id,date,market_key,group,line,selection,odds,stake,abs_stake,pnl,abs_pnl,payoff,p_model,p_market,edge,won
m00_baseline,12476782,2024-08-31,OU1.5,OverUnder,1.5,under_15,5.3,0.004131987130692761,4.7518931164036555,0.01741219376873929,20.024477592525002,4.2139999999999995,0.25688085483717404,0.1846153846153846,0.07226547022178945,true
m00_baseline,12476782,2024-08-31,OU2.5,OverUnder,2.5,under_25,2.418549632918444,0.0012038511938699873,1.3844603142231995,0.001673568215769647,1.9246471571208437,1.390178640260075,0.5040641280959763,0.41115976065860554,0.0929043674373708,true
m00_baseline,12476782,2024-08-31,OU3.5,OverUnder,3.5,under_35,1.61,0.015088479854767725,17.35214590245955,0.009019893257180148,10.373112820490322,0.5978000000000001,0.7229127978104375,0.6193853427895982,0.10352745502083927,true
m00_baseline,12476784,2024-08-31,1X2,1X2,0.0,home,2.133884560760343,0.006978572140444772,8.025540222567455,-0.006978572140444772,-8.025540222567455,-1.0,0.5092649700079025,0.4686289119799813,0.040636058027921196,false
m00_baseline,12476784,2024-08-31,1X2,1X2,0.0,draw,3.9969928986491907,0.0017228647795032943,1.981339492904813,0.005060145239314093,5.819299182247934,2.937053040676207,0.2479252913350273,0.2501880852322646,-0.0022627938972372974,true
m00_baseline,12476785,2024-08-31,1X2,1X2,0.0,away,4.263422389621486,0.0006447872163752105,0.7415221388951276,-0.0006447872163752105,-0.7415221388951276,-1.0,0.24275885192168264,0.23181113695867017,0.010947714963012473,false
m00_baseline,12476785,2024-08-31,1X2,1X2,0.0,home,1.97954215561444,0.0005263007827303128,0.6052596456646586,0.0005052231271528733,0.581019791260376,0.959951312502151,0.509329849678146,0.49926130073569513,0.01006854894245085,true
m00_baseline,12476611,2024-09-14,1X2,1X2,0.0,home,4.131452403459997,0.03101755757764376,36.57686286634597,0.09518740512145198,112.24793103116889,3.0688233553907973,0.5044820480377076,0.23973211893368873,0.26474992910401884,true
m00_baseline,12476611,2024-09-14,1X2,1X2,0.0,draw,3.7397234051705595,0.007995950000908601,9.429071452105287,-0.007995950000908601,-9.429071452105287,-1.0,0.24837082707670904,0.26484360784162714,-0.016472780764918094,false
m00_baseline,12476611,2024-09-14,OU1.5,OverUnder,1.5,under_15,3.8,0.0019087708277121746,2.2508815735650036,-0.0019087708277121746,-2.2508815735650036,-1.0,0.25632920679904336,0.2621359223300971,-0.005806715531053719,false
m00_baseline,12476611,2024-09-14,OU2.5,OverUnder,2.5,under_25,1.9273312388682489,0.0015409697200299613,1.8171591360678985,-0.0015409697200299613,-1.8171591360678985,-1.0,0.5037348975556215,0.517845501486655,-0.014110603931033472,false
m00_baseline,12476611,2024-09-14,BTTS,BTTS,0.0,btts_yes,1.94,0.004949423685148206,5.836513431012155,0.004559409098758527,5.376596172648396,0.9211999999999999,0.5192231471046819,0.5125628140703519,0.006660333034330002,true
m00_baseline,12476614,2024-09-14,1X2,1X2,0.0,away,5.633862032354386,0.0066337846039607835,7.822763901914649,-0.0066337846039607835,-7.822763901914649,-1.0,0.24724430227736569,0.17690251210752853,0.07034179016983716,false
m00_baseline,12476615,2024-09-14,1X2,1X2,0.0,home,2.081167914963561,0.0025975959204282296,3.063165419322505,0.0027522686179030963,3.245560246205447,1.0595445566642898,0.5043514640885982,0.47881461670846764,0.025536847380130567,true
m00_baseline,12476615,2024-09-14,OU1.5,OverUnder,1.5,over_15,1.3916666666666666,0.004553250606391429,5.369333888046815,0.0017476893577532432,2.0609293240286357,0.38383333333333325,0.7436877464083193,0.718562874251497,0.025124872156822242,true
