model,market_key,selection,source,n_obs,brier,ece,mean_predicted,realized_win_rate,calibration_bias
m13_joint_composite,1X2,away,model,595,0.20921777408462675,0.026529613320860384,0.3332960561335297,0.30756302521008405,-0.025733030923445643
m13_joint_composite,1X2,away,market,595,0.20580731254895002,0.043608169167124705,0.3202431776205387,0.30756302521008405,-0.01268015241045467
m13_joint_composite,OU0.5,ALL,model,533,0.051433153748932446,0.01425969793751873,0.690721154232534,0.6848030018761726,-0.005918152356361395
m13_joint_composite,OU0.5,ALL,market,533,0.05433616260677342,0.036416109478396845,0.7204502814258913,0.6848030018761726,-0.03564727954971869
m13_joint_composite,OU0.5,over_05,model,384,0.0582907851277113,0.005789119524423403,0.9317108804755776,0.9375,0.005789119524422404
m13_joint_composite,OU0.5,over_05,market,384,0.06244944618412792,0.03723185309412861,0.9736647011358328,0.9375,-0.03616470113583281
m13_joint_composite,OU0.5,under_05,model,149,0.033759795027784235,0.03608991344509326,0.06964696042495902,0.03355704697986577,-0.03608991344509325
m13_joint_composite,OU0.5,under_05,market,149,0.03342676063560476,0.03431379036134318,0.06787083734120897,0.03355704697986577,-0.034313790361343195
m13_joint_composite,OU1.5,ALL,model,430,0.17413434669750885,0.019245709295222457,0.4999999064649427,0.5,9.353505731057865e-8
m13_joint_composite,OU1.5,ALL,market,430,0.17266435474340952,0.010264241635519814,0.5,0.5,0.0
m13_joint_composite,OU1.5,over_15,model,215,0.17413435390843376,0.01924580283027967,0.752847220425534,0.772093023255814,0.01924580283027999
m13_joint_composite,OU1.5,over_15,market,215,0.17266435474340938,0.008403776519240815,0.7695475417446302,0.772093023255814,0.0025454815111837226
m13_joint_composite,OU1.5,under_15,model,215,0.1741343394865838,0.019245615760165237,0.24715259250435143,0.22790697674418606,-0.01924561576016537
m13_joint_composite,OU1.5,under_15,market,215,0.17266435474340935,0.012124706751798813,0.23045245825536975,0.22790697674418606,-0.002545481511183695
m13_joint_composite,OU2.5,ALL,model,758,0.2471774152349169,0.003480057002803114,0.49999990877033956,0.5,9.12296604371754e-8
m13_joint_composite,OU2.5,ALL,market,758,0.24829171351414944,0.01829866107755568,0.5,0.5,0.0
m13_joint_composite,OU2.5,over_25,model,379,0.24717741486191394,0.012664878543425802,0.5098236594106037,0.5013192612137203,-0.008504398196883423
m13_joint_composite,OU2.5,over_25,market,379,0.24829171351414947,0.028508958419071143,0.5298282196327917,0.5013192612137203,-0.028508958419071417
m13_joint_composite,OU2.5,under_25,model,379,0.24717741560791917,0.012665048056961097,0.4901761581300753,0.49868073878627966,0.008504580656204352
m13_joint_composite,OU2.5,under_25,market,379,0.24829171351414947,0.028508958419071074,0.4701717803672084,0.49868073878627966,0.02850895841907125
m13_joint_composite,OU3.5,ALL,model,528,0.21177988058927663,0.011589431411215635,0.49999990214642387,0.5,9.785357613090184e-8
m13_joint_composite,OU3.5,ALL,market,528,0.2098660314894639,0.01484560050373574,0.5,0.5,0.0
m13_joint_composite,OU3.5,over_35,model,264,0.21177988619843893,0.011589529264791551,0.29522865255339026,0.3068181818181818,0.011589529264791565
m13_joint_composite,OU3.5,over_35,market,264,0.20986603148946387,0.014845600503735762,0.31406522484008403,0.3068181818181818,-0.007247043021902211
m13_joint_composite,OU3.5,under_35,model,264,0.21177987498011427,0.011589333557639721,0.7047711517394571,0.6931818181818182,-0.011589333557638914
m13_joint_composite,OU3.5,under_35,market,264,0.2098660314894639,0.014845600503735717,0.685934775159916,0.6931818181818182,0.007247043021902266
m13_joint_composite,BTTS,ALL,model,356,0.24602612013127256,0.014651071949610142,0.4999999081686386,0.5,9.18313614040045e-8
m13_joint_composite,BTTS,ALL,market,356,0.2451580767568855,0.03004396402078209,0.5,0.5,0.0
m13_joint_composite,BTTS,btts_yes,model,178,0.24602612563628093,0.014651155595174839,0.5456229155236179,0.550561797752809,0.004938882229191144
m13_joint_composite,BTTS,btts_yes,market,178,0.2451580767568853,0.03285295278482705,0.5576697512597203,0.550561797752809,-0.007107953506911291
m13_joint_composite,BTTS,btts_no,model,178,0.24602611462626467,0.014650988304045527,0.4543769008136592,0.449438202247191,-0.004938698566468225
m13_joint_composite,BTTS,btts_no,market,178,0.2451580767568853,0.027234975256737102,0.44233024874027976,0.449438202247191,0.007107953506911235
