model,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476600,2024-10-05,1X2_away,away,4.676451282447679,0.011446573455872045,-0.011446573455872045,-1.0,0.31104797671495005,0.21383736076826934
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476600,2024-10-05,1X2_draw,draw,4.19427068640062,0.005827889267155031,-0.005827889267155031,-1.0,0.26217019576622286,0.23842047277548647
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476759,2024-10-05,BTTS_btts_yes,btts_yes,1.78,0.004377629248438806,0.003346259797506623,0.7644,0.5898864355971282,0.5615763546798029
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476761,2024-10-05,1X2_away,away,2.8553602334932577,0.0004420404418061452,-0.0004420404418061452,-1.0,0.3411806836166374,0.3502185077280412
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476761,2024-10-05,1X2_home,home,2.835531342982888,0.003584489283721079,0.006447853580279195,1.7988207161232301,0.3816778117634303,0.3526675882016639
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476761,2024-10-05,O/U 2.5_under_25,under_25,1.775474228144699,0.002380714978047692,0.0018092594478333764,0.7599647435818049,0.5759918362282102,0.5592950689231376
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476762,2024-10-05,1X2_home,home,2.539642474726282,0.007451105202863625,0.011242597292903169,1.5088496252317563,0.4532787453559646,0.39364230654831717
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476764,2024-10-05,1X2_away,away,3.7014888024141896,0.004296409184804658,0.011374567277272474,2.647459026365906,0.3081716828497251,0.27016156292240534
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476764,2024-10-05,O/U 2.5_under_25,under_25,2.13,0.008334163306738529,-0.008334163306738529,-1.0,0.5243314228630548,0.4672060694771476
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476765,2024-10-05,O/U 2.5_under_25,under_25,2.25,0.005302184862394698,0.006495176456433506,1.225,0.48502679886596617,0.4402985074626866
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476593,2024-10-19,1X2_home,home,3.7955640587829196,0.008869581984669488,-0.008869581984669488,-1.0,0.3396212184339909,0.263465451909843
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476593,2024-10-19,1X2_draw,draw,3.5983918998851054,0.0017292457803374797,0.004403393063968617,2.5464240618874032,0.27318182787574735,0.2779019150281906
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476593,2024-10-19,O/U 2.5_under_25,under_25,1.87,0.004409359125985766,0.0037594195908154646,0.8526000000000001,0.5609384907051165,0.5192802056555269
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476594,2024-10-19,1X2_home,home,3.15,0.012921034594814267,0.027224619891273658,2.1069999999999998,0.41174485226557167,0.314654040713448
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476594,2024-10-19,1X2_draw,draw,3.9250000000000003,0.003919598246146501,-0.003919598246146501,-1.0,0.2590464002055208,0.2525248989165252
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476594,2024-10-19,O/U 2.5_under_25,under_25,2.08,0.003592088315350516,-0.003592088315350516,-1.0,0.5063901549566554,0.4666666666666667
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476595,2024-10-19,1X2_home,home,3.624655109656035,0.010097674779513378,-0.010097674779513378,-1.0,0.36199222905161543,0.2746655630822453
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476595,2024-10-19,1X2_draw,draw,3.4234342003339524,0.0022009524635156676,0.005227186203925272,2.3749655163272734,0.27850674441657364,0.29080971866656463
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476596,2024-10-19,1X2_away,away,5.603032295032316,0.00881086642206302,-0.00881086642206302,-1.0,0.2648681821192966,0.17847478781919685
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476596,2024-10-19,1X2_draw,draw,4.4450438940888946,0.0027873539742509904,-0.0027873539742509904,-1.0,0.22550303682494088,0.22496965695430352
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476596,2024-10-19,O/U 2.5_over_25,over_25,1.7049999999999998,0.0038286795412835564,-0.0038286795412835564,-1.0,0.6072921797618263,0.5721455457967378
