idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
90,2026-03-17,1,3,2534.38079926981,2435.7023489443795,0.0389359208978622,-0.0389359208978622,0.0389359208978622,0.25330302521292986,false,m13_joint_composite,P_baseline,-0.10884633410220634,0.5
91,2026-03-21,9,28,2435.7023489443795,2276.258512352523,0.17061285419323596,-0.06546113348412977,0.17061285419323596,0.2621111861267013,false,m13_joint_composite,P_baseline,-0.14354422274544287,0.5
92,2026-03-24,2,6,2276.258512352523,2266.8154233742935,0.014847736085304541,-0.0041485134166375556,0.014847736085304541,0.2723343386355317,false,m13_joint_composite,P_baseline,-0.19960878870355747,0.25
93,2026-03-27,1,7,2266.8154233742935,2307.1952722909864,0.035279207956407786,0.01781347016625843,0.035279207956407786,0.26211892442928636,false,m13_joint_composite,P_baseline,-0.20292922238217947,0.25
94,2026-03-28,7,23,2307.1952722909864,2398.4845973567667,0.08556707327575062,0.03956722959783645,0.08556707327575061,0.2670772864963394,false,m13_joint_composite,P_baseline,-0.18873062586468792,0.25
95,2026-04-04,8,27,2398.4845973567667,2258.418849643559,0.1369940697215449,-0.05839760149703115,0.13699406972154488,0.2670498450031622,false,m13_joint_composite,P_baseline,-0.15663094427258284,0.25
96,2026-04-07,1,5,2258.418849643559,2260.110722266416,0.013876977191007282,0.0007491403213908459,0.013876977191007282,0.27431058476429,false,m13_joint_composite,P_baseline,-0.20588167430388005,0.25
97,2026-04-11,9,28,2260.110722266416,2339.2640345314553,0.18138001463744277,0.03502187370080054,0.18138001463744272,0.26603356700921627,false,m13_joint_composite,P_baseline,-0.20528676824614578,0.25
98,2026-04-14,1,6,2339.2640345314553,2275.7602893523344,0.06446656487480647,-0.027146890749269625,0.06446656487480647,0.2680649663687142,false,m13_joint_composite,P_baseline,-0.17745442181530735,0.25
99,2026-04-18,9,28,2275.7602893523344,2325.1230607247594,0.1774997042060249,0.02169067260878932,0.1774997042060249,0.24849999737658038,false,m13_joint_composite,P_baseline,-0.19978397676258186,0.25
100,2026-04-25,9,38,2325.1230607247594,2278.5852516082346,0.19999999999999998,-0.02001520259405898,0.19999999999999998,0.2600728653284043,true,m13_joint_composite,P_baseline,-0.1824267529862318,0.25
1,2024-08-03,9,24,1000.0,1006.2035293056957,0.15487062324321504,0.006203529305695628,0.15487062324321504,0.2629952930647681,false,m13_joint_composite,P_symmetric_core,0.0,1.0
2,2024-08-10,9,20,1006.2035293056957,960.7807561269645,0.11276713409904503,-0.045142728936832396,0.11276713409904501,0.25165126696632695,false,m13_joint_composite,P_symmetric_core,0.0,1.0
3,2024-08-17,8,16,960.7807561269645,994.229380667691,0.10047435985471655,0.034814003431503156,0.10047435985471656,0.27422420671230535,false,m13_joint_composite,P_symmetric_core,-0.045142728936832466,1.0
4,2024-08-24,8,18,994.229380667691,1117.8802702553594,0.10030348315727755,0.12436857328097536,0.10030348315727755,0.26973618096728424,false,m13_joint_composite,P_symmetric_core,-0.011900324625443548,1.0
5,2024-08-31,9,16,1117.8802702553594,1112.9402915241642,0.0740780703825896,-0.004419058876552789,0.0740780703825896,0.26386242265721527,false,m13_joint_composite,P_symmetric_core,0.0,1.0
6,2024-09-14,8,18,1112.9402915241642,1145.388025696397,0.1012122681417274,0.02915496403476952,0.1012122681417274,0.2535657746393752,false,m13_joint_composite,P_symmetric_core,-0.004419058876552806,1.0
7,2024-09-21,9,16,1145.388025696397,1124.3391302353834,0.06379657121603194,-0.018377087055904955,0.06379657121603194,0.2721208584939751,false,m13_joint_composite,P_symmetric_core,0.0,1.0
8,2024-09-28,9,16,1124.3391302353834,1127.2331340270491,0.054274868841951394,0.002573959861256466,0.0542748688419514,0.26976241647963806,false,m13_joint_composite,P_symmetric_core,-0.018377087055904906,1.0
9,2024-10-05,9,14,1127.2331340270491,1137.6687444456795,0.07499062457528992,0.009257721498434917,0.07499062457528992,0.27382919002301687,false,m13_joint_composite,P_symmetric_core,-0.015850429079097283,1.0
10,2024-10-19,9,21,1137.6687444456795,1141.6711174095708,0.08711967327090704,0.003518047747581716,0.08711967327090703,0.2641805632254852,false,m13_joint_composite,P_symmetric_core,-0.006739446438707275,1.0
11,2024-10-26,5,6,1141.6711174095708,1167.866397980534,0.03849116549319356,0.022944681854087542,0.03849116549319356,0.2989785811401913,false,m13_joint_composite,P_symmetric_core,-0.0032451083854891927,1.0
12,2024-11-02,9,16,1167.866397980534,1121.6906560019893,0.09950972132674538,-0.03953854829490046,0.09950972132674536,0.2643560160482917,false,m13_joint_composite,P_symmetric_core,0.0,1.0
13,2024-11-09,9,13,1121.6906560019893,1238.205059398914,0.07718422476846892,0.10387391815513011,0.07718422476846892,0.26268742731825456,false,m13_joint_composite,P_symmetric_core,-0.03953854829490033,1.0
14,2024-11-16,9,14,1238.205059398914,1308.0162300568957,0.07492158266276412,0.05638094443893756,0.07492158266276412,0.26338168987686217,false,m13_joint_composite,P_symmetric_core,0.0,1.0
15,2024-11-23,1,2,1308.0162300568957,1296.8443789641326,0.008541064580121547,-0.008541064580121547,0.008541064580121547,0.22957301951224068,false,m13_joint_composite,P_symmetric_core,0.0,1.0
