model,spec,n_shifted,w_p10,w_median,w_p90,w_mean,var_retention_median,market_share_median
m05_joint_production_wealth,std_w0.70_s0.35,623,0.9195678576130153,0.9851954980819482,0.9993944971357988,0.9699863312798289,0.9706101695267203,0.014804501918051827
m05_joint_production_wealth,std_w0.70_s0.50,623,0.9574544626818979,0.9926521681984247,0.9997031507382357,0.9838619895585997,0.9853583270507211,0.0073478318015752775
m05_joint_production_wealth,std_w0.70_s0.75,623,0.9802856474491342,0.9967117919345176,0.9998680307129836,0.9924128158004102,0.9934343961857207,0.0032882080654823564
m05_joint_production_wealth,std_w0.70_s1.00,623,0.9887460336323493,0.998145924775887,0.9999257601313083,0.9956414003939308,0.9962952871481177,0.001854075224112961
m05_joint_production_wealth,std_w0.85_s0.15,623,0.8774216717352881,0.9638754373377809,0.9983590625635448,0.9508658161867097,0.9290558591084949,0.036124562662219084
m05_joint_production_wealth,std_w0.85_s0.25,623,0.9313596755066158,0.9858354810378019,0.9994071820903615,0.974552799622752,0.9718715957477913,0.014164518962198058
m05_joint_production_wealth,std_w0.85_s0.35,623,0.9597839288065076,0.9925977490409741,0.9996972485678994,0.9849931656399145,0.9852502914226542,0.007402250959025913
m05_joint_production_wealth,std_w0.85_s0.50,623,0.978727231340949,0.9963260840992124,0.9998515753691178,0.9919309947792999,0.9926656658618928,0.0036739159007875832
m05_joint_production_wealth,std_w0.85_s0.75,623,0.9901428237245671,0.9983558959672588,0.9999340153564917,0.9962064079002051,0.996714495013689,0.0016441040327411782
m05_joint_production_wealth,std_w0.85_s1.00,623,0.9943730168161746,0.9990729623879435,0.9999628800656541,0.9978207001969656,0.9981467841749729,0.0009270376120564805
m05_joint_production_wealth,std_w1.00_s0.15,623,1.0,1.0,1.0,1.0,1.0,0.0
m05_joint_production_wealth,sta_w0.25,623,0.25,0.25,0.25,0.25,0.0625,0.75
m05_joint_production_wealth,sta_w0.40,623,0.4,0.4,0.4,0.4000000000000003,0.16000000000000003,0.6
m05_joint_production_wealth,sta_w0.55,623,0.55,0.55,0.55,0.5500000000000006,0.30250000000000005,0.44999999999999996
m05_joint_production_wealth,sta_w0.70,623,0.7,0.7,0.7,0.6999999999999994,0.48999999999999994,0.30000000000000004
m05_joint_production_wealth,sta_w0.85,623,0.85,0.85,0.85,0.8500000000000009,0.7224999999999999,0.15000000000000002
m05_joint_production_wealth,sta_w1.00,623,1.0,1.0,1.0,1.0,1.0,0.0
